n	s	0.356108
t	r	0.405734
t	s	0.286997
s	o	0.391206
i	e	0.386189
s	r	0.187065
r	a	0.458026
n	d	0.401417
e	t	0.425656
o	n	0.452152
h	n	0.187065
t	n	0.214882
o	h	0.252718
t	o	0.431759
i	a	0.364271
e	i	0.340564
n	i	0.379802
e	s	0.422828
a	e	0.314818
a	n	0.474042
h	a	0.408239
n	h	0.233033
d	a	0.404029
d	s	0.224689
e	d	0.436908
o	t	0.411486
r	d	0.331590
d	e	0.474945
h	e	0.444204
r	i	0.437535
i	n	0.474494
d	h	0.286997
d	d	0.345526
a	a	0.246834
n	e	0.468943
a	h	0.323638
e	e	0.406576
r	h	0.267685
h	t	0.162850
a	t	0.462116
h	h	0.187065
i	i	0.233033
n	a	0.424252
n	o	0.403166
s	d	0.187065
h	i	0.392179
r	e	0.496716
i	o	0.364271
d	i	0.395978
r	r	0.353212
i	d	0.409060
t	t	0.364271
r	s	0.340564
i	t	0.409060
t	h	0.441223
n	r	0.214882
h	r	0.296479
i	s	0.424252
h	s	0.187065
a	r	0.493282
e	n	0.472673
i	h	0.233033
i	r	0.399637
t	i	0.432416
o	e	0.312451
n	n	0.354672
n	t	0.424956
t	d	0.162850
a	s	0.435006
d	n	0.214882
a	i	0.401417
a	d	0.424252
o	a	0.356108
e	a	0.427729
e	h	0.276066
o	r	0.449938
o	d	0.383048
a	o	0.279902
d	r	0.314818
o	s	0.402295
t	a	0.465580
s	e	0.474494
r	o	0.437535
h	o	0.417688
s	i	0.419922
r	n	0.354672
s	h	0.440617
h	d	0.187065
s	t	0.477175
r	t	0.385153
o	o	0.388227
e	r	0.532836
t	e	0.512932
e	o	0.276066
s	n	0.331590
d	o	0.406576
s	a	0.410683
s	s	0.375292
d	t	0.187065
o	i	0.343904
